,abstract,contribution,category
28,"objective. this study aimed to compare the prevalence and morbidity data on schistosoma mansoni infection in two rural areas : the jequitinhonha valley (area 1) and the rio doce valley (area 2) in the state of minas gerais, brazil, covering the period from 2007 to 2010. material and methods. the parasitological stool tests were based on the quantitative method of kato modified by katz et al. three clinical forms were considered : type i schistosomiasis infection, type ii hepatointestinal form, and type iii hepatosplenic form. results. the prevalence of infection among inhabitants of area 1 was 22.9%, with 2.1% presenting the hepatosplenic form and two cases of schistosomal myeloradiculopathy. the infection prevalence rate in area 2 was 20.2%, with 3.3% presenting the hepatosplenic form. conclusion and recommendation. there was no difference in the prevalence and in the morbidity of schistosoma mansoni infection between the two areas, but it was predominant in young men with a low intensity of infection. the cases of schistosomal myeloradiculopathy in area 1 can be highlighted : these emphasize that schistosomiasis should not be neglected in brazil. the lack of infection control in both areas may be related to the poor sanitation system, the absence of previous treatment, and the reinfection process.","the study compared the prevalence and morbidity of schistosoma mansoni infection in two rural areas of minas gerais, brazil. both areas showed similar prevalence rates, with a significant number of cases presenting with the hepatosplenic form of the disease. the study highlights the importance of continued surveillance and control efforts to prevent the spread of schistosomiasis in these regions.",comparative
29,"refractory bleeding following percutaneous nephrolithotomy (pcnl) is mainly due to formation of pseudoaneurysm. transarterial embolization is required to control the bleeding in such cases. we report a case of post - pcnl hematuria in whom angioembolization was done. an early erosion of the embolization coil from the renal vasculature into the urinary collecting system occurred, causing urinary tract obstruction and urinary tract infection (uti). the coil was retrieved ureteroscopically after control of uti with antibiotics. migration of embolization coil into urinary collecting system is a rare but important cause of urinary tract obstruction. the treating physician as well as the patient should be aware of this complication.",the study reports a rare case of a migrated embolization coil after percutaneous nephrolithotomy (pcnl) for refractory bleeding. this led to urinary tract obstruction and infection. the coil was successfully retrieved ureteroscopically. the case highlights the importance of being aware of this potential complication and taking necessary precautions.,case study
30,"backgroundfollicular thyroid cancer (ftc) metastasizes most commonly to the lungs and non - cranial bones. skull and skin are uncommon sites and usually manifest well after the diagnosis of primary malignancy. metastasis to skull and skin as the presenting feature of ftc is infrequently reported in the literature.case presentationa 65-year - old caucasian woman with a history of thyroid nodule presented with the complaint of rapidly growing skull nodules which had been present for 3 years but were stable previously. she denied any fevers, chills, history of trauma, or weight loss. she denied any history of smoking or head and neck irradiation. on physical examination, she had two non - tender gray cystic lesions one on her left temporal region and the other on the right parietal region. biopsy was consistent with metastatic ftc. magnetic resonance imaging of the brain demonstrated 7.13.8 cm and 3.74.5 cm fairly homogeneous, enhancing, relatively well - defined masses centered in the posterior and left anterior lateral calvarium with intracranial and extracranial extensions but without any vasogenic edema or mass effect on the brain. thyroid ultrasound showed numerous nodules in both lobes. the patient underwent a total thyroidectomy. histopathological studies of the thyroid gland revealed a well - differentiated ftc in the left lobe. then she underwent resection of the tumor in multiple stages. she did not have any recurrence of the ftc or metastases during the follow - up period and will be receiving radioactive iodine treatment.conclusionbone and lung are the common sites of metastasis from ftc, but involvement of skull or skin is unusual, particularly as the presenting feature. metastases from ftc should be in the differential of patients with new osteolytic hypervascular skull lesions or cutaneous lesions in head and neck area.","the study presents a rare case of follicular thyroid cancer (ftc) that spread to the skull and scalp, presenting as rapidly growing nodules. this is unusual because ftc typically spreads to the lungs and bones. the patient underwent surgery to remove the thyroid gland and skull tumors, and will receive radioactive iodine treatment. the case emphasizes that skull and skin lesions can be a rare sign of ftc, and should be considered during diagnosis.",case study
31,"although progress has been made to understand the association between physiological and lifestyle behaviors with regard to obesity, ethnic differences in markers of obesity and pathways towards obesity remain somewhat unexplained. however, obesity remains a serious growing concern. this paper highlights ethnic differences in african americans and caucasians that may contribute to the higher prevalence of obesity among african americans. understanding ethnic differences in metabolic syndrome criteria, functioning of the hypothalamic pituitary adrenal axis, variations in glucocorticoid sensitivity and insulin resistance, and physical activity and cardiovascular fitness levels may help to inform practical clinical and public health interventions and reduce obesity disparities.","the study discusses ethnic differences in obesity between african americans and caucasians. it highlights potential factors such as metabolic syndrome, hypothalamic-pituitary-adrenal axis function, glucocorticoid sensitivity, insulin resistance, physical activity, and cardiovascular fitness that may contribute to the higher prevalence of obesity among african americans. understanding these differences can help develop targeted interventions to reduce obesity disparities.",analytical
32,"an abiotic formation of meso- and dl - tartrates in 80% yield via the cyanide - catalyzed dimerization of glyoxylate under alkaline conditions is demonstrated. a detailed mechanism for this conversion is proposed, supported by nmr evidence and 13c - labeled reactions. simple dehydration of tartrates to oxaloacetate and an ensuing decarboxylation to form pyruvate are known processes that provide a ready feedstock for entry into the citric acid cycle. while glyoxylate and high hydroxide concentration are atypical in the prebiotic literature, there is evidence for natural, abiotic availability of each. it is proposed that this availability, coupled with the remarkable efficiency of tartrate production from glyoxylate, merits consideration of an alternative prebiotic pathway for providing constituents of the citric acid cycle.","the study demonstrates an abiotic synthesis of tartrates from glyoxylate under alkaline conditions, catalyzed by cyanide. the proposed mechanism is supported by nmr evidence and isotopic labeling experiments. this finding suggests a potential prebiotic pathway for the formation of citric acid cycle intermediates, expanding our understanding of the origins of life.",experimental
33,"crouzon syndrome is one of the most common craniofacial syndromes and is inherited as autosomal dominant with variable expression. we report an 11 and a half - year - old boy with crouzon syndrome with severe growth retardation. he had hydrocephalus since infancy and recently suffered from frequent dizziness. his bone age was only 5 years according to the greulich and pyle atlas. magnetic resonance imaging showed shallow orbits, obstructive hydrocephalus, and cerebellar tonsil herniation. growth hormone provocative tests revealed a reduced peak growth hormone response in both insulin and clonidine tests. severe iron deficiency anemia was noted at the same time. molecular analysis identified a common mutation point of cys278phe for crouzon syndrome in exon iiia of the fibroblast growth factor receptor 2 (fgfr2) gene. since growth retardation is not a common feature of crouzon syndrome, we reviewed the literature for the incidence of hydrocephalus in crouzon syndrome and the association with growth hormone deficiency.",the paper report case of an 11 and a half-year-old boy with crouzon syndrom with severe growth retardation,case study
34,"release and reception of extracellular atp by leukocytes plays a critical role in immune responses to infection, injury and cardiovascular disease. leukocytes of both the innate, adaptive immune and central nervous system express a repertoire of cell surface receptors for atp (p2x and p2y receptors) and its metabolites. atp acts as a damage - associated molecule pattern (damp) released by injured or dying cells. detection of released atp by neighboring leukocytes initiates inflammation and wound healing. however, recent evidence from our group and others suggests atp release by leukocytes themselves serves to regulate homeostatic mechanisms and coordinate responses to external pro - inflammatory cues. examples include the homeostatic control of intracellular calcium and regulation of migratory guidance during chemotactic response to external cues. though there has been some progress in elucidating atp release mechanisms of some mammalian cells types, release conduits and coupling signal transduction machinery remain larger elusive for leukocytes. our recent studies suggest a role for secretory lysosomes in releasing atp in monocytes. though poorly defined, targeting atp release mechanisms in leukocytes have great anti - inflammatory potential.",the paper suggests that atp release by leukocytes themselves serves to regulate homeostatic mechanisms and coordinate responses to external pro-inflammatory cues. targeting atp release mechanisms in leukocytes have great anti-inflammatory potential.,analytical
35,"neurofibromas (nf) are benign tumors of neural origin, of which roughly 90% appear as solitary lesions. they are classified into cutaneous, subcutaneous, and plexiform subtypes. plexiform neurofibromas are the least common variant and usually are pathognomonic for nf i. here, we present a very rare case of isolated plexiform neurofibroma with a painless enlarging mass of the tongue of an 11-year - old girl. this rare benign tumor has the potential for malignant transformation, and the diagnosis was difficult owing to the patient s age and to the insidious clinical presentation. the present case is a diffuse isolated plexiform neurofibroma of the tongue that was not associated with neurofibromatosis that was treated with intraoral surgery.",the paper report very rare case of isolated plexiform neurofibroma with a painless enlarging mass of the tongue of an 11-year-old girl,case study
36,"parosteal osteosarcomas are rare, low - grade juxtacortical variant of osteosarcoma, especially in the jaws, representing 1.6% of all bony malignant tumours and upto 5% of all osteosarcomas. only 12 cases of intraoral parosteal osteosarcomas have been reported in the english literature. in the jaws males are more commonly affected with peak occurrence at 39 years and nearly equal site predilection for maxilla and mandible. radiographically, parosteal osteosarcomas are radiodense, lobulated masses with a broad stalk to the cortex of the bone with no periosteal reaction and medullary invasion. microscopically, shows well - differentiated tumor with minimum atypia and rare mitotic figures separating trabeculae of woven bone. unlike classical and periosteal osteosarcoma, it is considered to have a good prognosis. a case report of this rare entity in 22-year - old female patient with bony hard, painless swelling of 9 months duration in maxillary premolar - molar region is presented. the need for differential diagnostic approach is emphasized from other seemingly benign clinical entities.","the paper report a rare parosteal osteosarcomas case of 22-year old female patient with bony hard, painless swelling of 9 months duration in maxillary premolar - molar region",case study
37,"background and purpose : the conventional therapeutic regimen for status epilepticus (se) may require artificial ventilation and hemodynamic support, and is associated with significant complications and increased mortality. we investigated the safety and effectiveness of topiramate (tpm) in patients with refractory se, who had medical complications such as systemic infection, renal dysfunction, hepatic dysfunction, and bone marrow suppression.methods:we analyzed the clinical features and therapeutic outcome in 16 patients with gcse, ncse or recurrent gtc in whom tpm was administered for its control.results:the majority of our patients had gcse (n=6) or ncse (n=7). the common co - morbid diseases at the onset of seizures were hematological disorders (pancytopenia 8, anemia 2, anemia with thrombocytopenia 2) and sepsis (n=8). twelve patients were under the renal and/or hepatic dysfunction. within a few days, 13 patients could experience their seizure control (the mean duration, 3.7 2.6 days), but the seizures of the other subjects did not be terminated in spite of all efforts. no patients experienced a worsening of their cbc or blood chemistry profiles with the tpm treatment.conclusions:we could confirm that tpm was not only safe but very effective for the control of recurrent epileptic seizures or se in patients with serious medical co - morbidities. tpm may be considered as another treatment option when conventional protocols are ineffective.","the paper investigated the safety and effectiveness of topiramate (tpm) in patients with refractory recurrent epileptic seizures or se, who had medical complications such as systemic infection, renal dysfunction, hepatic dysfunction and bone marrow suppression. it is concluded that tpm was not only safe but very effective for the control of reccurent epileptic seizures in patients with serious medical co-morbidities.",analytical
38,"we report the cases of two japanese children with cystic pituitary enlargement on magnetic resonance imaging (mri) causing central diabetes insipidus (di). in the first patient, endocrinological examination demonstrated slightly impaired growth hormone and thyroid stimulating hormone secretions, but normal responses of other anterior pituitary hormones. the second patient had normal basal levels of anterior pituitary hormones. transsphenoidal resection of the tumors was performed in both patients. histological analysis of the tumor sections demonstrated granulomatous tissue with cholesterol clefts, foamy macrophages, multinucleated giant cells and no epithelial component. thus, these tumors were pathologically diagnosed as xanthogranuloma of the sellar region, different from adamantinomatous craniopharyngioma. post - operatively, the two patients continue to have di, however other hormone replacement therapy after one year of follow - up has not been required. currently, it is not clear whether xanthogranuloma is a distinct entity from adamantinomatous craniopharyingioma. although, to our knowledge, a clinical report of xanthogranuloma of the sellar region has not been reported at pediatric age, it would be included in the differential diagnosis of the sellar region.",the paper repors the case of two japanese children with cystic pitutary enlargement on magnetic resonance imaging (mri) causing central diabetes insipidus (di). these tumors were pathologically diagnosed as xanthogranuloma of the sellar region. clinical report of xanthogranuloma of the sellar region has not been reported at pediaric age.,case study
39,"new - onset bipolar disorder is rare in the elderly. symptom profile is similar to that in young adults but the elderly are more likely to have neurological co - morbidities. there are no case reports of elderly mania being treated with aripiprazole, an atypical antipsychotic. a 78-year - old gentleman presented to us with symptoms suggestive of mania of 1 month s duration. he had similar history 3 years ago and a family history of postpartum psychosis in his mother. there were no neurological signs on examination and work - up for an organic etiology was negative except for age - related cerebral atrophy. he improved with aripiprazole and tolerated the medications well. the use of psychotropic medications in the elderly is associated with side - effects of sedation, increased cardiovascular risk, and greater risk of extra - pyramidal side - effects. the use of partial dopaminergic antagonists like aripiprazole may be useful in the balancing of effects and side - effects.",the paper report case of elderly bipolar disorder being treated with aripiprazole. the use of partial dopaminergic antagonists like aripiprazole mayu be useful in the balancing of effects and side-effects.,case study
40,"objectivea number of studies have found that reduced birth weight is associated with type 2 diabetes later in life ; however, the underlying mechanism for this correlation remains unresolved. recently, association has been demonstrated between low birth weight and single nucleotide polymorphisms (snps) at the cdkal1 and hhex - ide loci, regions that were previously implicated in the pathogenesis of type 2 diabetes. in order to investigate whether type 2 diabetes risk conferring alleles associate with low birth weight in our caucasian childhood cohort, we examined the effects of 20 such loci on this trait.research design and methodsusing data from an ongoing genome - wide association study in our cohort of 5,465 caucasian children with recorded birth weights, we investigated the association of the previously reported type 2 diabetes associated variation at 20 loci including tcf7l2, hhex - ide, pparg, kcnj11, slc30a8, igf2bp2, cdkal1, cdkn2a/2b, and jazf1 with birth weight.resultsour data show that the minor allele of rs7756992 (p = 8 105) at the cdkal1 locus is strongly associated with lower birth weight, whereas a perfect surrogate for variation previously implicated for the trait at the same locus only yielded nominally significant association (p = 0.01 ; r2 rs7756992 = 0.677). however, association was not detected with any of the other type 2 diabetes loci studied.conclusionswe observe association between lower birth weight and type 2 diabetes risk conferring alleles at the cdkal1 locus. our data show that the same genetic locus that has been identified as a marker for type 2 diabetes in previous studies also influences birth weight.","the paper claims that the cdkal1 locus, which has been identified as a marker for type 2 diabetes is strongly associated with lower birth weight.",analytical
41,"backgroundinformed consent is the cornerstone for protection of human subjects in clinical trials. however, a growing body of evidence suggests that reform of the informed consent process in the united states is needed.methodsthe clinical trials transformation initiative conducted interviews with 25 experienced observers of the informed consent process to identify limitations and actionable recommendations for change.resultsthere was broad consensus that current practices often fail to meet the ethical obligation to inform potential research participants during the informed consent process. the most frequent single recommendation, which would affect all participants in federally regulated clinical research, was reform of the informed consent document. the interviews also identified the need for reform of clinical research review by institutional review boards, including transitioning to a single institutional review board for multi - site trials.conclusionthe consensus recommendations from the interviewees provide a framework for meaningful change in the informed consent process. although some proposed changes are feasible for rapid implementation, others such as substantive reform of the informed consent document may require change in federal regulations.",the paper argues that the reform of the informed consent process in the united states is needed as current practice often fail to meet the ethical obligation to inform potential research participants during the informed concent process.,argumentative
42,"purpose to characterize the peripheral cones in the images obtained by spectral - domain optical coherence tomography (oct), swept source oct, and adaptive optics fundus camera in a patient with peripheral cone dystrophy.methodsa 28-year - old japanese man underwent detailed ophthalmic evaluations including high - resolution imaging of the fundus of both eyes.resultsthe decimal best - corrected visual acuity was 1.2 in both eyes. the results of slit - lamp biomicroscopy and ophthalmoscopy were essentially normal. fluorescein and indocyanine green angiographies did not show any hyper- or hypofluorescent areas of the retina. goldmann perimetry showed full peripheral visual fields but relative central scotomas within the central 20. the results of the humphrey visual field analyzer showed a limited preservation of the central sensitivity. color vision tests showed no errors in both eyes. spectral - domain oct showed attenuation of both the ellipsoid and interdigitation zones throughout the macular region except the center of the fovea. the scotopic full - field ergs were normal, but the photopic ergs were markedly reduced. regular cone mosaics were not observed especially more than 450 m radius from the fovea in the adaptive optics retinal images. the parafoveal cone densities were severely decreased in both eyes.conclusionsour findings indicate that the peripheral cone dystrophy diagnosed by full - field ergs and perimetry is due to a reduction in the density of parafoveal and peripheral cones.","the paper introduce case of 28 year old japanese man underwent detailed ophthalmic evaluations, and concludes that the peripheral cone dystrophy diagnosed by full-field ergs and perimetry is due to a reduction in the density of parafoveal and peripheral cones.",analytical
43,"background : urinary tract infections (utis) are one of main health problems caused by many microorganisms, including uropathogenic escherichia coli (upec). upec strains are the most frequent pathogens responsible for 85% and 50% of community and hospital acquired utis, respectively. upec strains have special virulence factors, including type 1 fimbriae, which can result in worsening of utis.objectives:this study was performed to detect type 1 fimbriae (the fimh gene) among upec strains by molecular method.materials and methods : a total of 140 isolated e. coli strains from patients with uti were identified using biochemical tests and then evaluated for the fimh gene by polymerase chain reaction (pcr) analysis.results:the upec isolates were identified using biochemical tests and were screened by pcr. the fimh gene was amplified using specific primers and showed a band about 164 bp. the fimh gene was found in 130 isolates (92.8%) of the upec strains. of 130 isolates positive for the fimh gene, 62 (47.7%) and 68 (52.3%) belonged to hospitalized patients and outpatients, respectively.conclusions:the results of this study indicated that more than 90% of e. coli isolates harbored the fimh gene. the high binding ability of fimh could result in the increased pathogenicity of e. coli ; thus, fimh could be used as a possible diagnostic marker and/or vaccine candidate.","the paper reports study to detect type 1 fimbriae among upec strains by molecular method, and concludes that more than 90% of e. coli isolates harbored the fimh gene, thus, fimh could be used as a possible diagnostic marker and/or vaccine candidate.",methodological
44,balantidiasis is a rare zoonotic disease in humans. balantidium coli is the causative ciliated protozoan. we present a case of urinary balantidiasis in a patient having chronic obstructive pulmonary disease (copd) who was on steroids for a long time. he has no symptoms of bowel or urinary involvement. we are reporting this case because of its rarity in human urine and also for future references.,the paper presents a case of urinary balantidiasis in a patient having chronic obstructive pulmonary disease who was on steroids for a long time,case study
45,"5q - syndrome is a special subgroup of myelodysplastic syndrome in terms of follow - up and treatment. lenalidomide is an immunomodulatory drug that is frequently used in the treatment of multiple myeloma. some clinical studies have shown that lenalidomide treatment is effective in 5q syndrome and significantly decreases the transfusion dependency in these patients. in this paper, we would like to share a dramatic response of lowered transfusion dependency after treatment with low - dose lenalidomide in a patient who received myelodysplastic syndrome diagnosis and isolated 5q anomaly in our clinic.",the paper presents a dramatic response of lowered transfusion dependency after treatement with low-dose lenalidomide in a patient who received myelodysplastic syndrome and isolated 5q anomaly in the authors clinic,case study
46,"the hepatitis c virus (hcv) encodes approximately 10 different structural and non - structural proteins, including the envelope glycoprotein 2 (e2). hcv proteins, especially the envelope proteins, bind to cell receptors and can damage tissues. endothelial inflammation is the most important determinant of fibrosis progression and, consequently, cirrhosis. the aim of this study was to evaluate and compare the inflammatory response of endothelial cells to two recombinant forms of the hcv e2 protein produced in different expression systems (escherichia coli and pichia pastoris). we observed the induction of cell death and the production of nitric oxide, hydrogen peroxide, interleukin-8 and vascular endothelial growth factor a in human umbilical vein endothelial cells (huvecs) stimulated by the two recombinant e2 proteins. the e2-induced apoptosis of huvecs was confirmed using the molecular marker parp. the apoptosis rescue observed when the antioxidant n - acetylcysteine was used suggests that reactive oxygen species are involved in e2-induced apoptosis. we propose that these proteins are involved in the chronic inflammation caused by hcv.","the study evaluate and compare the inflammatory response of endothelial cells to two recombinant forms of the hcv e2 protein prduced in diferent expression systems. induction of cell death and the production of nitric oxide, hydrogen peroxide, interleukin-8 and vascular endothelial grouth factor a in human umbilical vain endothelial cells stimulated by the two recombinant e2 proteins were observed. the paper propose those proteins are incolved in the chronic inflammation caused by hcv.",analytical
47,"in the early 1970s, studies in leland hartwell s laboratory at the university of washington launched the genetic analysis of the eukaryotic cell cycle and set the path that has led to our modern understanding of this centrally important process. this 45th - anniversary retrospective reviews the steps by which the project took shape, the atmosphere in which this happened, and the possible morals for modern times. it also provides an up - to - date look at the 35 original cdc genes and their human homologues.",the paper reviews the project of genetic analysis of the eukaryotic cell cycle at the university of washington in the early 1970s.,review
48,"recent studies from the gulf region suggest that compared to men, women have a greater risk of developing metabolic syndrome (mes). objective. to investigate gender differences in body composition, adipokines, inflammatory markers, and aerobic fitness in a cohort of healthy qatari adults. participants. healthy qatari (n = 58) were matched for age, gender, and body mass index. methods. body composition and regional fat distribution were determined by dual - energy x - ray absorptiometry and computerized tomography. laboratory assessments included serum levels of fasting glucose, insulin, lipid profile analysis, adipokines, and inflammatory markers. subjects were also evaluated for aerobic fitness. results. women had more adipose tissue in the total abdominal (p = 0.04) and abdominal subcutaneous (p = 0.07) regions compared to men. waist circumference and indices of insulin sensitivity were similar ; however, women had a more favourable lipid profile than men. serum adiponectin and leptin levels were significantly higher in women, whereas inflammatory profiles were not different between men and women. aerobic fitness was lower in women and was associated with abdominal fat accumulation. conclusion. in premenopausal women, higher levels of adiponectin may support maintenance of insulin sensitivity and normolipidemia despite greater adiposity. however, poor aerobic fitness combined with abdominal fat accumulation may explain their greater future risk of mes compared with men.",the paper investigates sex difference in metabolic syndrome risk. the paper suggests poor aerobic fitness combined with abdominal fat accumulation may explain their greater future risk of metabolic syndrome of women compared with men.,analytical
49,"although it has never been prospectively validated, the base excess (be) is regarded as the standard end - point of resuscitation in trauma patients. in a rat hemorrhage model, in this edition of critical care, totapally and colleagues demonstrate that the be is an insensitive and slowly responsive indicator of changes in intravascular volume. this contrasts with changes in the esophageal - arterial carbon dioxide gap which more closely followed changes in blood volume. esophageal or sublingual capnometry may prove to be a useful tool for monitoring the adequacy of resuscitation in trauma victims.",the paper argues that measuring changes in the esophageal-arterial carbon dioxide gap may be a useful tool for monitaryn the adequacy of resuscitation in trauma victims,analytical
50,"a series of -ketooxazoles incorporating electrophiles at the c5 position of the pyridyl ring of 2 (ol-135) and related compounds were prepared and examined as inhibitors of fatty acid amide hydrolase (faah) that additionally target the cytosolic port cys269. from this series, a subset of the candidate inhibitors exhibited time - dependent faah inhibition and noncompetitive irreversible inactivation of the enzyme, consistent with the targeted cys269 covalent alkylation or addition, and maintained or enhanced the intrinsic selectivity for faah versus other serine hydrolases. a preliminary in vivo assessment demonstrates that these inhibitors raise endogenous brain levels of anandamide and other faah substrates upon intraperitoneal (i.p.) administration to mice, with peak levels achieved within 1.53 h, and that the elevations of the signaling lipids were maintained > 6 h, indicating that the inhibitors effectively reach and remain active in the brain, inhibiting faah for a sustained period.",the paper demonstrates that a series of -ketooxazoles incorporating electrophi raise endogenous brain les at the c5 position of the pyridyl ring of 2 (ol-135) and related compounds raise endogenous brain levels of anandamide and othe faah substrates upon intrapetritoneal administration,analytical
51,h7n9 influenza is a new emerging infection and has high mortality. both chest radiography and computed tomography (ct) had some limitations in assessing such patients. we performed daily lung ultrasound in a patient with h7n9 influenza. lung ultrasound and lung ultrasound score showed high consistency with ct and the progression of pneumonia. ultrasound can be adjutant to chest radiography and ct in caring for patients with h7n9 influenza.,the paper suggests that ultrasound can beg adjutant to chest radiography and ct in carin g for patients with h7n9 influenza,analytical
52,"methylmalonic acidemia (mma) is most common inherited type of organic acidemia. it has diverse presentation in older infants without any initial apparent symptoms. mma sometimes present with sudden metabolic decompensation, which may mimics common emergencies like septic shock and diabetic ketoacidosis (dka) without early recognition can be fatal. in born error of metabolism especially organic acidemia should be suspected in any infant presented with severe high anion gap metabolic acidosis. we report two cases of mma in infants presented acutely mimicking dka and septic shock.",the paper reports two cases of mathylmalonic academia in in infants presented acutely mimicking dka and septic shock.,case study
53,"background. bone engineering requires thicker three - dimensional constructs than the maximum thickness supported by standard cell - culture techniques (2 mm). a flow - perfusion bioreactor was developed to provide chemotransportation to thick (6 mm) scaffolds. methods. polyurethane scaffolds, seeded with murine preosteoblasts, were loaded into a novel bioreactor. control scaffolds remained in static culture. samples were harvested at days 2, 4, 6, and 8 and analyzed for cellular distribution, viability, metabolic activity, and density at the periphery and core. results. by day 8, static scaffolds had a periphery cell density of 67% 5.0%, while in the core it was 0.3% 0.3%. flow - perfused scaffolds demonstrated peripheral cell density of 94% 8.3% and core density of 76% 3.1% at day 8. conclusions. flow perfusion provides chemotransportation to thick scaffolds. this system may permit high throughput study of 3d tissues in vitro and enable prefabrication of biological constructs large enough to solve clinical problems.",the paper presents a flow-perfusion bioreactor that provide chemotransportation to thick scaffolds that answers requirements from bone engineering,methodological
54,"ganoderma lucidum has a long history of use as a traditional medicine in asian countries. however, the taxonomy of ganoderma species remains controversial, since they were initially classified on the basis of their morphological characteristics. recently, it was proposed that g. lucidum from china be renamed as g. sichuanense or g. lingzhi. in the present study, phylogenetic analysis using the internal transcribed spacer region rdna sequences of the ganoderma species indicated that all strains of the korean g. lucidum clustered into one group together with g. sichuanense and g. lingzhi from china. however, strains from europe and north american, which were regarded as true g. lucidum, were positioned in a clearly different group. in addition, the average size of the basidiospores from the korean cultivated yeongji strains was similar to that of g. lingzhi. based on these results, we propose that the korean cultivated yeongji strains of g. lucidum should be renamed as g. lingzhi.","the paper propose that the korean cultivated yeongji strains of g.lucidum, that has a long history of use a s atraditional medicine in asian countries, should be renamed as g. lingzhi",argumentative
55,"backgroundthe optimal geographic configuration of health care systems is key to maximizing accessibility while promoting the efficient use of resources. this article reports the use of a novel approach to inform the optimal configuration of a national trauma system.methodsthis is a prospective cohort study of all trauma patients, 15 years and older, attended to by the scottish ambulance service, between july 1, 2013, and june 30, 2014. patients underwent notional triage to one of three levels of care (major trauma center [ mtc ], trauma unit, or local emergency hospital). we used geographic information systems software to calculate access times, by road and air, from all incident locations to all candidate hospitals. we then modeled the performance of all mathematically possible network configurations and used multiobjective optimization to determine geospatially optimized configurations.resultsa total of 80,391 casualties were included. a network with only high- or moderate - volume mtcs (admitting at least 650 or 400 severely injured patients per year, respectively) would be optimally configured with a single mtc. a network accepting lower - volume mtcs (at least 240 severely injured patients per year) would be optimally configured with two mtcs. both configurations would necessitate an increase in the number of helicopter retrievals.conclusionthis study has shown that a novel combination of notional triage, network analysis, and mathematical optimization can be used to inform the planning of a national clinical network. scotland s trauma system could be optimized with one or two mtcs.level of evidencecare management study, level iv.",the paper reports the use of a novel approach to inform the optimal configuration of a national trauma system.,analytical
56,"introduction : peritonitis is one of the most common problems in general surgery practice with high mortality rate. one of the reasons for high mortality is that peritonitis affects the general condition and leads to complications causing multiple organ failure, renal failure, sepsis, and postoperative ventilatory support. early prognostic evaluation of patients with peritonitis is desirable to select high - risk patients for intensive management and also to provide a reliable objective classification of severity and operative risk.patients and methods : fifty cases with diagnosis of peritonitis coming to government medical college, amritsar, were studied. stratification of these patients was done according to mannheim peritonitis index (mpi), and their outcome was examined.results:mortality steadily increases with increase in mpi score. for patients with a score < 21, the mortality rate was 0% ; for score 2127, it was 27.28% ; and for score > 27, it was 100% (p < 0.001). for patients with a score < 21, the morbidity rate was 13.33% ; for score 21 - 27, it was 65.71% ; and for score > 27, it was 100% (p < 0.001). duration of pain > 24 h, organ failure on admission, female sex, and feculent exudate were found to be independently significant factors in predicting the mortality among the study population. for a score of 27, the sensitivity was 66.67%, specificity was 100%, and positive predictive value for mortality is 100% at an accuracy of 94%.conclusion : this study proves that mpi scoring system is a simple and effective tool for assessing the morbidity and mortality in patients with peritonitis.",the paper propose that mannheim peritonitis index system is a simple and effective tool for assesing the morbidity and mortality in parients with peritonitis.,analytical
57,"pre - emptive living donor transplantation should always be promoted as the first - line treatment for kidney failure. where that is not possible, patients must receive timely information and advice regarding all dialysis options available, including home - based peritoneal dialysis and haemodialysis. where a dialysis unit enables and actively encourages self - management, patients will tend to select themselves, and if well motivated may overcome significant difficulties to exceed the expectations or predictions of dialysis staff. patients then become advocates themselves and can provide other patients with the necessary motivation to consider a home treatment, such that they approach staff, rather than vice versa. for staff to be able to talk to patients with confidence requires direct experience of home dialysis, but in units which do not have a full range of home therapies, this may initially be difficult. visiting patients in their home environment is an essential part of training for both medical and nursing staff. before a patient is able to begin to engage in discussion about any dialysis therapy, they must have reached a point of acceptance that dialysis is necessary. if they are not at this point, then any attempt at education will be largely futile. once a patient has arrived at the point of choosing a home therapy, the pathway to their first dialysis at home must be as smooth and problem - free as possible.",the paper argue that pre-emptibe living donor transplantation should always s be promoted as the first-line treatment for kidney failure.,argumentative
58,"background : the diagnosis of pott s disease is mostly based on clinicoradiological observations substantiated by the bacterial culture, staining and histopathology. since, no single technique is enough to conclude pott s disease in diagnosis, the present study was undertaken to correlate the clinicoradiological, microbiological, histopathological and molecular method to evaluate the effectiveness in diagnosis of pott s disease.materials and methods:62 clinicoradiologically suspected cases of pott s disease were included in this study. the specimens for diagnostic work up were collected either during surgery or by computed tomography guided fine needle aspiration. all these specimens were tested for tuberculosis (tb) through ziehl - neelsen (zn) microscopy, bactec culture, histopathology and polymerase chain reaction (pcr). the final diagnosis was established by the results of performed tests and clinicoradiological improvement of cases at the end of 6 months on anti tubercular treatment.results:out of 62 cases, 7 were excluded from this study as these were turned out to be neoplastic lesions on histopathology. amongst remaining 55 cases, the tb was diagnosed in 39 (71%) on histopathology, 37 (67.5%) on pcr, 27 (49%) on bactec culture and 20 (36.3%) on zn microscopy. ultimately 45 cases were tested as positive and 10 were detected as negative for tb in combination of zn microscopy, bactec culture and histopathology. pcr was positive in 37 of 45 cases and 10/55 cases remained negative. on clinical analysis of these 10 cases, it was noted that these were cases of relapse / poor compliance. the combination of pcr and histopathology was also shown positive for tb in 45 cases. hence, the pcr showed a fair positive agreement (c = 0.63) against the combined results of all performed traditional methods.conclusions:the combination of pcr and histopathology is a rapid and efficient tool for diagnosis of pott s disease.",the paper argues that the combination of pcr and histopathology is a rapid and efficient tool for diagnosis of potts disease,methodological
